Parent,Identity,Population
0,0,0
0,0_PIK3CA,0
0_PIK3CA,0_PBRM1,0
0_PBRM1,0_NF1,0
0_NF1,0_EGFR,0
0_EGFR,0_ERBB2,82.6
0_ERBB2,1,2.9
0_ERBB2,3,14.5
