Parent,Identity,Population
0,0,0
0,0_PTEN,0
0_PTEN,0_FGFR2,0
0_FGFR2,0_ERLIN2,0
0_ERLIN2,0_WHSC1L1,0
0_WHSC1L1,0_FGFR1,0
0_FGFR1,0_10q,0
0_10q,0_17p,90.9
0_17p,4,2.7
0_17p,3,4.9
