Parent,Identity,Population
0,0,0
0,0_CREBBP,0
0_CREBBP,0_PTEN,16.3
0_PTEN,7,0
7,7_FGFR1,0
7_FGFR1,7_AK&3,22.8
0_PTEN,3,7.1
7_AK&3,6,17.3
7_AK&3,1,6
3,2,30.1
