Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
0	0	38	38	1	0	1	0	1.209807	0.001458	314.372009	202856
86523	0	74	74	1	0	1	0	1.508032	0.001458	394.115265	536236
103443	0	91	91	1	0	1	0	1.475879	0.001458	427.894073	260908
68577	38	110	110	2	0	1	0	1.789478	0.001458	449.194427	202221
7588	91	226	226	2	0	1	0	1.894677	0.001458	516.057495	29196
3784	74	195	195	2	0	1	0	1.707844	0.001458	503.937439	8837
14810	74	263	263	2	0	1	0	2.039338	0.001458	527.412170	31950
19521	110	242	242	3	0	1	0	2.206519	0.001458	520.342102	81009
14	91	255	255	2	0	1	0	1.595450	0.001458	525.494385	14
0	38	278	278	2	0	1	0	1.397689	0.001458	531.199341	635
185156	74	375	375	2	0	1	0	2.269009	0.001458	553.934509	366240
163	74	293	293	2	0	1	0	1.643384	0.001458	536.155579	163
6958	74	718	718	2	0	1	0	1.728497	0.001458	600.447510	7003
14436	263	467	467	3	0	1	0	2.470652	0.001458	571.981689	16637
98217	91	470	470	2	0	1	0	1.937890	0.001458	572.491760	105108
9595	110	478	478	3	0	1	0	2.109088	0.001458	573.949585	18762
2097	74	483	483	2	0	1	0	1.913332	0.001458	575.128662	2097
1100	110	923	923	3	0	1	0	2.122183	0.001458	618.199158	1100
8819	242	541	541	4	0	1	0	2.327168	0.001458	582.321777	45709
2863	91	758	758	2	0	1	0	1.582409	0.001458	604.814087	2863
8598	74	707	707	2	0	1	0	1.766084	0.001458	599.507202	13973
4096	74	717	717	2	0	1	0	1.713897	0.001458	600.258057	4096
2128	110	834	834	3	0	1	0	2.014283	0.001458	611.526917	2128
11140	226	806	806	3	0	1	0	2.145080	0.001458	608.740967	11707
631	278	726	726	3	0	1	0	1.557402	0.001458	601.546692	635
411	74	874	874	2	0	1	0	1.745293	0.001458	614.322693	411
0	375	1159	1159	3	0	1	0	2.693688	0.001458	634.526611	20531
6750	478	873	873	4	0	1	0	2.283151	0.001458	614.201904	8375
325	91	878	878	2	0	1	0	1.684049	0.001458	614.988342	325
347	74	918	918	2	0	1	0	1.742806	0.001458	617.944214	347
490	91	1264	1264	2	0	1	1	1.574278	0.001458	641.399048	490
4974	91	904	904	2	0	1	0	1.859423	0.001458	616.917480	5178
3935	375	924	924	3	0	1	0	2.663477	0.001458	618.226929	4699
3144	226	1166	1166	3	0	1	0	2.137957	0.001458	635.079346	3146
453	110	931	931	3	0	1	0	2.035269	0.001458	618.641968	453
1136	74	1168	1168	2	0	1	0	1.740472	0.001458	635.142151	1136
80	91	1152	1152	2	0	1	0	1.559925	0.001458	633.937561	80
7724	74	992	992	2	0	1	0	1.911107	0.001458	623.749207	7724
129	74	1004	1004	2	0	1	0	1.679284	0.001458	624.782410	129
6857	242	1123	1123	4	0	1	1	2.590919	0.001458	632.053040	8398
14495	375	1218	1218	3	0	1	0	3.209392	0.001458	638.363953	14495
1084	110	1758	1758	3	0	1	0	1.893834	0.001458	664.397034	1084
31878	375	1258	1258	3	0	1	0	3.427060	0.001458	640.858032	53032
11125	110	1356	1356	3	0	1	0	2.337071	0.001458	646.036011	12482
296	110	1086	1086	3	0	1	1	2.092455	0.001458	630.219788	296
35390	541	1172	1172	5	0	1	0	2.689805	0.001458	635.445374	35970
7988	110	1613	1613	3	0	1	0	2.359725	0.001458	658.352417	8157
912	74	1321	1321	2	0	1	0	1.588801	0.001458	643.962036	912
3826	91	1216	1216	2	0	1	0	1.702188	0.001458	638.230774	3826
1707	91	1332	1332	2	0	1	0	1.667758	0.001458	644.651794	1707
1698	91	1285	1285	2	0	1	0	1.707507	0.001458	642.143066	1698
20301	1159	1354	1354	4	0	1	0	3.260910	0.001458	645.884338	20531
24341	375	1725	1725	3	0	1	0	2.957813	0.001458	662.995605	24957
192	91	1297	1297	2	0	1	0	1.494166	0.001458	642.776184	192
39769	375	1536	1536	3	0	1	0	3.162518	0.001458	655.183838	39891
