Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
30.050016	1	7	100	100
30.050016	1	8	100	100
30.050016	1	9	100	100
30.050016	1	10	100	100
30.050016	1	0	1000	179
30.050016	1	1	1000	179
30.050016	1	2	1000	179
30.050016	1	3	1000	179
30.050016	1	4	1000	179
30.050016	1	5	1000	179
30.050016	1	6	1000	179
30.050016	1	7	1000	179
30.050016	1	8	1000	179
30.050016	1	9	1000	179
30.050016	1	10	1000	179
30.050016	2	0	200	104
30.050016	2	1	200	104
30.050016	2	2	200	104
30.050016	2	3	200	108
30.050016	2	4	200	124
30.050016	2	5	200	146
30.050016	2	6	200	170
30.050016	2	7	200	194
30.050016	2	8	200	200
30.050016	2	9	200	200
30.050016	2	10	200	200
30.050016	2	0	2000	262
30.050016	2	1	2000	303
30.050016	2	2	2000	349
30.050016	2	3	2000	358
30.050016	2	4	2000	358
30.050016	2	5	2000	358
30.050016	2	6	2000	358
30.050016	2	7	2000	358
30.050016	2	8	2000	358
30.050016	2	9	2000	358
30.050016	2	10	2000	358
30.050016	4	0	400	304
30.050016	4	1	400	304
30.050016	4	2	400	304
30.050016	4	3	400	307
30.050016	4	4	400	324
30.050016	4	5	400	346
30.050016	4	6	400	370
30.050016	4	7	400	394
30.050016	4	8	400	400
30.050016	4	9	400	400
30.050016	4	10	400	400
30.050016	4	0	4000	621
30.050016	4	1	4000	662
30.050016	4	2	4000	707
30.050016	4	3	4000	716
30.050016	4	4	4000	716
30.050016	4	5	4000	716
30.050016	4	6	4000	716
30.050016	4	7	4000	716
30.050016	4	8	4000	716
30.050016	4	9	4000	716
30.050016	4	10	4000	716
40.055019	1	0	100	100
40.055019	1	1	100	100
40.055019	1	2	100	100
40.055019	1	3	100	100
40.055019	1	4	100	100
40.055019	1	5	100	100
40.055019	1	6	100	100
40.055019	1	7	100	100
40.055019	1	8	100	100
40.055019	1	9	100	100
40.055019	1	10	100	100
40.055019	1	0	1000	339
40.055019	1	1	1000	339
40.055019	1	2	1000	339
40.055019	1	3	1000	339
40.055019	1	4	1000	339
40.055019	1	5	1000	339
40.055019	1	6	1000	339
40.055019	1	7	1000	339
40.055019	1	8	1000	339
40.055019	1	9	1000	339
40.055019	1	10	1000	339
40.055019	2	0	200	200
40.055019	2	1	200	200
40.055019	2	2	200	200
40.055019	2	3	200	200
40.055019	2	4	200	200
40.055019	2	5	200	200
40.055019	2	6	200	200
40.055019	2	7	200	200
40.055019	2	8	200	200
40.055019	2	9	200	200
40.055019	2	10	200	200
