Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigRandomSamples
411.472839	84307	1.710350	1.710350	1.710350	1.550869	1.717475	1.721319	1.742403	1.712821	1.708941
411.585907	85000	1.725565	1.725565	1.725565	1.663340	1.705175	1.727489	1.748466	1.759320	1.718783
412.309387	90000	1.826337	1.826337	1.826337	1.758087	1.842469	1.900734	1.873684	1.824565	1.827660
413.035614	95000	1.916993	1.916993	1.916993	2.118644	1.871082	2.057931	1.918509	1.925608	1.942111
413.594086	100000	1.997816	1.997816	1.997816	2.207506	2.020814	2.002152	1.958971	2.025727	2.009544
414.127136	105000	2.071415	2.071415	2.071415	1.845700	2.078354	2.085669	2.040192	2.074379	2.030632
414.562958	110000	2.127959	2.127959	2.127959	2.061856	2.103934	2.114165	2.130098	2.138432	2.162855
415.024689	115000	2.185580	2.185580	2.185580	2.344116	2.213614	2.148516	2.186691	2.212734	2.204662
415.418884	120000	2.230489	2.230489	2.230489	2.153316	2.299644	2.284148	2.281115	2.253138	2.237796
415.796875	125000	2.268235	2.268235	2.268235	2.199736	2.237887	2.351074	2.194291	2.248654	2.263112
416.184204	130000	2.300831	2.300831	2.300831	2.394636	2.214594	2.239203	2.313712	2.344622	2.323598
416.509277	135000	2.327254	2.327254	2.327254	2.201674	2.340276	2.323758	2.285453	2.335472	2.310827
416.829224	140000	2.348518	2.348518	2.348518	2.225189	2.199736	2.451055	2.308691	2.338845	2.344248
417.106750	145000	2.361154	2.361154	2.361154	2.104377	2.183644	2.349072	2.350287	2.359445	2.350874
417.390289	150000	2.371281	2.371281	2.371281	2.205558	2.232392	2.373394	2.317819	2.363625	2.379535
417.665070	155000	2.378076	2.378076	2.378076	2.409639	2.340003	2.271694	2.328994	2.348294	2.363377
