Generation	Size	Frequency	Count
171.432007	6	0.010101	9
171.432007	7	0.011785	5
171.432007	8	0.013468	2
171.432007	9	0.015152	2
171.432007	10	0.016835	1
171.432007	13	0.021886	1
171.432007	12	0.020202	2
171.432007	14	0.023569	1
171.432007	24	0.040404	1
171.432007	11	0.018519	1
181.440338	1	0.001314	145
181.440338	2	0.002628	51
181.440338	3	0.003942	35
181.440338	4	0.005256	20
181.440338	5	0.006570	11
181.440338	6	0.007884	8
181.440338	7	0.009198	7
181.440338	8	0.010512	2
181.440338	9	0.011827	5
181.440338	10	0.013141	0
181.440338	14	0.018397	1
181.440338	11	0.014455	2
181.440338	13	0.017083	2
181.440338	12	0.015769	1
181.440338	25	0.032852	1
181.440338	17	0.022339	1
191.444229	1	0.000895	212
191.444229	2	0.001791	81
191.444229	3	0.002686	51
191.444229	4	0.003581	23
191.444229	5	0.004476	18
191.444229	6	0.005372	13
191.444229	7	0.006267	8
191.444229	8	0.007162	5
191.444229	9	0.008057	3
191.444229	10	0.008953	9
191.444229	13	0.011638	2
191.444229	11	0.009848	2
191.444229	12	0.010743	3
191.444229	17	0.015219	1
191.444229	16	0.014324	1
201.448685	1	0.000877	201
201.448685	2	0.001754	99
201.448685	3	0.002632	44
201.448685	4	0.003509	25
201.448685	5	0.004386	16
201.448685	6	0.005263	14
201.448685	7	0.006140	9
201.448685	8	0.007018	7
201.448685	9	0.007895	4
201.448685	10	0.008772	3
201.448685	11	0.009649	2
201.448685	22	0.019298	1
201.448685	13	0.011404	1
201.448685	16	0.014035	1
201.448685	15	0.013158	1
201.448685	14	0.012281	3
201.448685	12	0.010526	1
201.448685	18	0.015789	1
211.453217	1	0.000704	286
211.453217	2	0.001407	113
211.453217	3	0.002111	57
211.453217	4	0.002815	31
211.453217	5	0.003519	28
211.453217	6	0.004222	18
211.453217	7	0.004926	13
211.453217	8	0.005630	4
211.453217	9	0.006334	5
211.453217	10	0.007037	4
211.453217	11	0.007741	1
211.453217	15	0.010556	1
211.453217	18	0.012667	1
211.453217	23	0.016186	1
211.453217	13	0.009148	3
211.453217	12	0.008445	1
211.453217	20	0.014075	2
221.456116	1	0.000691	279
221.456116	2	0.001382	101
221.456116	3	0.002073	63
221.456116	4	0.002764	35
221.456116	5	0.003455	20
221.456116	6	0.004147	19
221.456116	7	0.004838	14
221.456116	8	0.005529	8
221.456116	9	0.006220	6
221.456116	10	0.006911	2
221.456116	14	0.009675	4
221.456116	16	0.011057	2
221.456116	17	0.011748	1
221.456116	23	0.015895	1
221.456116	15	0.010366	1
221.456116	11	0.007602	4
231.458359	1	0.000577	330
231.458359	2	0.001155	135
231.458359	3	0.001732	66
231.458359	4	0.002309	42
231.458359	5	0.002887	38
231.458359	6	0.003464	21
231.458359	7	0.004042	14
231.458359	8	0.004619	6
231.458359	9	0.005196	9
231.458359	10	0.005774	3
231.458359	18	0.010393	1
231.458359	19	0.010970	1
231.458359	14	0.008083	3
231.458359	12	0.006928	3
231.458359	11	0.006351	4
231.458359	21	0.012125	1
231.458359	13	0.007506	1
241.461182	1	0.000377	488
241.461182	2	0.000753	178
241.461182	3	0.001130	114
241.461182	4	0.001507	69
241.461182	5	0.001883	43
241.461182	6	0.002260	29
241.461182	7	0.002637	18
241.461182	8	0.003013	16
241.461182	9	0.003390	10
241.461182	10	0.003766	11
241.461182	11	0.004143	7
241.461182	15	0.005650	2
241.461182	12	0.004520	4
241.461182	17	0.006403	3
241.461182	16	0.006026	3
241.461182	20	0.007533	1
241.461182	13	0.004896	2
241.461182	14	0.005273	2
241.461182	22	0.008286	1
251.464264	1	0.000345	529
251.464264	2	0.000689	207
251.464264	3	0.001034	107
251.464264	4	0.001379	62
251.464264	5	0.001724	49
251.464264	6	0.002068	39
251.464264	7	0.002413	23
251.464264	8	0.002758	17
251.464264	9	0.003102	12
251.464264	10	0.003447	10
251.464264	16	0.005515	2
251.464264	12	0.004137	6
251.464264	15	0.005171	3
251.464264	17	0.005860	1
251.464264	13	0.004481	4
251.464264	14	0.004826	5
251.464264	21	0.007239	2
251.464264	11	0.003792	5
251.464264	20	0.006894	1
261.465027	1	0.000309	609
261.465027	2	0.000619	255
261.465027	3	0.000928	126
261.465027	4	0.001238	68
261.465027	5	0.001547	58
261.465027	6	0.001856	41
261.465027	7	0.002166	25
261.465027	8	0.002475	18
261.465027	9	0.002785	15
261.465027	10	0.003094	9
261.465027	13	0.004022	4
261.465027	15	0.004641	2
261.465027	20	0.006188	1
261.465027	16	0.004950	4
261.465027	17	0.005260	2
261.465027	21	0.006498	1
261.465027	14	0.004332	2
261.465027	12	0.003713	5
261.465027	30	0.009282	1
261.465027	22	0.006807	1
261.465027	11	0.003403	2
271.466827	1	0.000254	724
271.466827	2	0.000507	264
271.466827	3	0.000761	181
271.466827	4	0.001014	97
271.466827	5	0.001268	48
271.466827	6	0.001521	45
271.466827	7	0.001775	32
271.466827	8	0.002028	21
271.466827	9	0.002282	14
271.466827	10	0.002535	12
271.466827	18	0.004564	2
271.466827	15	0.003803	7
271.466827	12	0.003043	8
271.466827	13	0.003296	3
271.466827	26	0.006592	1
271.466827	16	0.004057	4
271.466827	19	0.004817	1
271.466827	11	0.002789	5
271.466827	17	0.004310	2
271.466827	23	0.005832	1
271.466827	14	0.003550	3
271.466827	30	0.007606	1
271.466827	22	0.005578	2
281.467560	1	0.000209	852
281.467560	2	0.000418	335
281.467560	3	0.000627	170
281.467560	4	0.000836	119
281.467560	5	0.001046	70
281.467560	6	0.001255	56
281.467560	7	0.001464	32
281.467560	8	0.001673	41
281.467560	9	0.001882	19
281.467560	10	0.002091	12
281.467560	14	0.002928	9
281.467560	17	0.003555	5
281.467560	11	0.002300	9
281.467560	12	0.002509	9
281.467560	16	0.003346	4
281.467560	24	0.005019	2
281.467560	18	0.003764	1
281.467560	15	0.003137	4
281.467560	13	0.002719	6
281.467560	20	0.004182	2
281.467560	19	0.003973	1
284.944153	1	0.000200	921
284.944153	2	0.000400	369
284.944153	3	0.000600	219
284.944153	4	0.000800	100
284.944153	5	0.001000	67
284.944153	6	0.001200	57
284.944153	7	0.001400	35
284.944153	8	0.001600	35
284.944153	9	0.001800	12
284.944153	10	0.002000	16
284.944153	15	0.003000	6
284.944153	14	0.002800	9
284.944153	11	0.002200	11
284.944153	13	0.002600	13
284.944153	18	0.003600	1
284.944153	17	0.003400	3
284.944153	16	0.003200	5
284.944153	12	0.002400	6
284.944153	19	0.003800	1
284.944153	22	0.004400	1
284.944153	23	0.004600	2
291.468475	1	0.000177	1023
291.468475	2	0.000353	416
291.468475	3	0.000530	221
291.468475	4	0.000707	136
291.468475	5	0.000883	79
291.468475	6	0.001060	63
291.468475	7	0.001237	50
291.468475	8	0.001413	29
291.468475	9	0.001590	25
291.468475	10	0.001766	18
291.468475	11	0.001943	19
291.468475	15	0.002650	6
291.468475	18	0.003180	3
291.468475	12	0.002120	9
291.468475	19	0.003356	4
291.468475	17	0.003003	3
291.468475	16	0.002826	2
291.468475	14	0.002473	6
291.468475	25	0.004416	1
291.468475	13	0.002296	5
291.468475	23	0.004063	1
291.468475	22	0.003886	1
301.469238	1	0.000140	1387
