Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
28.704313	27	664	638	0	3.777778	0.000000	0.617284	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	9	9	1	1	1	39	1	119	27	0	0	0	0	0	0	0	0	0	0
29.708698	15	685	671	0	4.000000	0.000000	0.666667	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8	8	1	1	1	41	1	125	15	0	0	0	0	0	0	0	0	0	0
30.768663	18	699	682	0	4.277778	0.000000	0.756173	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7	7	1	1	1	41	1	126	18	0	0	0	0	0	0	0	0	0	0
31.802641	21	715	695	0	4.285714	0.000000	0.965986	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	7	7	1	1	1	42	1	130	21	0	0	0	0	0	0	0	0	0	0
32.852570	22	739	718	0	4.772727	0.000000	0.539256	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	10	10	1	1	1	44	1	135	22	0	0	0	0	0	0	0	0	0	0
33.862736	37	769	733	0	4.756757	0.000000	1.157049	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	12	12	1	1	1	48	1	140	37	0	0	0	0	0	0	0	0	0	0
34.865410	39	807	769	0	5.025641	0.000000	1.460881	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	13	13	1	1	1	50	1	149	39	0	0	0	0	0	0	0	0	0	0
35.872364	49	858	810	0	5.959184	0.000000	1.712620	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	18	18	1	1	1	56	1	161	49	0	0	0	0	0	0	0	0	0	0
36.872776	43	917	875	0	6.000000	0.000000	1.488372	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	16	16	1	1	1	60	1	171	43	0	0	0	0	0	0	0	0	0	0
37.876587	41	952	912	0	6.073171	0.000000	0.897085	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	15	15	1	1	1	60	1	176	41	0	0	0	0	0	0	0	0	0	0
38.878498	51	1013	963	0	6.803922	0.000000	0.824298	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	20	20	1	1	1	65	1	191	51	0	0	0	0	0	0	0	0	0	0
39.899071	47	1066	1020	0	7.212766	0.000000	1.018560	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	26	26	1	1	1	72	1	205	47	0	0	0	0	0	0	0	0	0	0
40.905476	45	1118	1074	0	7.133333	0.000000	0.693333	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	20	20	1	1	1	75	1	210	45	0	0	0	0	0	0	0	0	0	0
41.905804	49	1159	1111	0	7.122449	0.000000	0.678884	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	16	16	1	1	1	75	1	214	49	0	0	0	0	0	0	0	0	0	0
42.918701	54	1215	1162	0	7.574074	0.000000	1.577846	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	19	19	1	1	1	80	1	226	54	0	0	0	0	0	0	0	0	0	0
43.945301	55	1259	1205	0	7.763637	0.000000	1.744132	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	19	19	1	1	1	83	1	235	55	0	0	0	0	0	0	0	0	0	0
44.955616	49	1308	1260	0	7.897959	0.000000	2.050812	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	18	18	1	1	1	87	1	243	49	0	0	0	0	0	0	0	0	0	0
45.956215	51	1352	1302	0	8.039216	0.000000	2.194541	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	21	21	1	1	1	90	1	257	51	0	0	0	0	0	0	0	0	0	0
46.962154	73	1424	1352	0	7.945206	0.000000	1.942203	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	21	21	1	1	1	92	1	267	73	0	0	0	0	0	0	0	0	0	0
47.963150	63	1494	1432	0	8.587301	0.000000	3.258251	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	26	26	1	1	1	100	1	285	63	0	0	0	0	0	0	0	0	0	0
48.974167	68	1559	1492	0	8.911765	0.000000	3.492214	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	32	32	1	1	1	111	1	304	68	0	0	0	0	0	0	0	0	0	0
49.980812	73	1636	1564	0	8.958904	0.000000	3.190091	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	28	28	1	1	1	116	1	315	73	0	0	0	0	0	0	0	0	0	0
50.983177	81	1710	1630	0	9.271605	0.000000	3.605243	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	27	27	1	1	1	116	1	329	81	0	0	0	0	0	0	0	0	0	0
51.992626	73	1779	1707	0	10.109589	0.000000	5.248266	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	20	20	1	1	1	116	1	333	73	0	0	0	0	0	0	0	0	0	0
52.996670	64	1843	1780	0	10.703125	0.000000	7.302490	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	20	20	1	1	1	116	1	345	64	0	0	0	0	0	0	0	0	0	0
54.007843	49	1882	1834	0	11.285714	0.000000	6.285714	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	17	17	1	1	1	116	1	351	49	0	0	0	0	0	0	0	0	0	0
55.028103	51	1935	1885	0	11.294118	0.000000	6.756632	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	17	17	1	1	1	116	1	361	51	0	0	0	0	0	0	0	0	0	0
56.040100	62	1993	1932	0	11.129032	0.000000	7.434963	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	19	19	1	1	1	118	1	372	62	0	0	0	0	0	0	0	0	0	0
57.041420	71	2056	1986	0	11.676056	0.000000	7.035907	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	27	27	1	1	1	128	1	383	71	0	0	0	0	0	0	0	0	0	0
58.053783	63	2119	2057	0	11.841269	0.000000	9.149407	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	21	21	1	1	1	128	1	393	63	0	0	0	0	0	0	0	0	0	0
59.067017	73	2189	2117	0	12.068493	0.000000	10.584350	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	131	1	405	73	0	0	0	0	0	0	0	0	0	0
60.068287	80	2256	2177	0	12.200000	0.000000	11.510000	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	28	28	1	1	1	137	1	416	80	0	0	0	0	0	0	0	0	0	0
61.073250	58	2322	2265	0	11.741380	0.000000	11.226219	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	22	22	1	1	1	138	1	424	58	0	0	0	0	0	0	0	0	0	0
62.103531	46	2370	2325	0	12.065217	0.000000	9.017486	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	22	22	1	1	1	144	1	439	46	0	0	0	0	0	0	0	0	0	0
63.117760	36	2409	2374	0	12.277778	0.000000	9.867285	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	18	18	1	1	1	144	1	445	36	0	0	0	0	0	0	0	0	0	0
64.121071	31	2436	2406	0	12.548388	0.000000	9.215400	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	12	12	1	1	1	144	1	447	31	0	0	0	0	0	0	0	0	0	0
65.131424	27	2465	2439	0	13.000000	0.000000	11.481482	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	13	13	1	1	1	144	1	451	27	0	0	0	0	0	0	0	0	0	0
66.135101	39	2504	2466	0	12.743589	0.000000	13.780406	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	14	14	1	1	1	146	1	456	39	0	0	0	0	0	0	0	0	0	0
67.136734	33	2532	2500	0	14.000000	0.000000	13.636364	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	15	15	1	1	1	148	1	462	33	0	0	0	0	0	0	0	0	0	0
68.143425	28	2563	2536	0	12.142858	0.000000	9.551020	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	13	13	1	1	1	153	1	470	28	0	0	0	0	0	0	0	0	0	0
69.145554	36	2591	2556	0	12.361111	0.000000	8.008487	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	19	19	1	1	1	159	1	483	36	0	0	0	0	0	0	0	0	0	0
70.147926	46	2631	2586	0	12.086957	0.000000	5.166352	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	22	22	1	1	1	165	1	492	46	0	0	0	0	0	0	0	0	0	0
71.151886	55	2687	2633	0	12.327272	0.000000	3.674712	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	17	17	1	1	1	168	1	501	55	0	0	0	0	0	0	0	0	0	0
72.153641	49	2733	2685	0	12.122449	0.000000	3.291128	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	16	16	1	1	1	168	1	508	49	0	0	0	0	0	0	0	0	0	0
73.172813	75	2817	2743	0	12.973333	0.000000	5.172623	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	32	32	1	1	1	181	1	532	75	0	0	0	0	0	0	0	0	0	0
74.175575	62	2878	2817	0	13.306452	0.000000	4.664152	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	23	23	1	1	1	185	1	540	62	0	0	0	0	0	0	0	0	0	0
75.177231	54	2926	2873	0	13.814815	0.000000	5.002742	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	23	23	1	1	1	185	1	547	54	0	0	0	0	0	0	0	0	0	0
76.195686	55	2976	2922	0	14.654546	0.000000	4.262480	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	185	1	558	55	0	0	0	0	0	0	0	0	0	0
77.199966	52	3038	2987	0	14.596154	0.000000	5.933062	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	20	20	1	1	1	185	1	569	52	0	0	0	0	0	0	0	0	0	0
78.207611	67	3107	3041	0	14.582089	0.000000	6.094008	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	18	18	1	1	1	185	1	576	67	0	0	0	0	0	0	0	0	0	0
79.209938	86	3182	3097	0	14.604651	0.000000	6.890210	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	24	24	1	1	1	192	1	589	86	0	0	0	0	0	0	0	0	0	0
80.210709	71	3245	3175	0	14.450705	0.000000	6.810951	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	21	21	1	1	1	194	1	597	71	0	0	0	0	0	0	0	0	0	0
81.215408	79	3345	3267	0	14.189874	0.000000	6.305720	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	30	30	1	1	1	209	1	622	79	0	0	0	0	0	0	0	0	0	0
82.216003	83	3421	3339	0	13.674699	0.000000	4.845986	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	35	35	1	1	1	213	1	639	83	0	0	0	0	0	0	0	0	0	0
83.222336	113	3529	3417	0	13.920354	0.000000	3.489231	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	32	32	1	1	1	216	1	653	113	0	0	0	0	0	0	0	0	0	0
84.231064	97	3631	3535	0	14.268042	0.000000	3.763206	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	37	37	1	1	1	222	1	674	97	0	0	0	0	0	0	0	0	0	0
85.233330	96	3732	3637	0	14.531250	0.000000	2.915690	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	34	34	1	1	1	225	1	695	96	0	0	0	0	0	0	0	0	0	0
86.235283	87	3817	3731	0	14.758620	0.000000	3.010701	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	36	36	1	1	1	232	1	715	87	0	0	0	0	0	0	0	0	0	0
87.246521	70	3887	3818	0	14.257143	0.000000	2.905306	0.000000	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	29	29	1	1	1	237	1	727	70	0	0	0	0	0	0	0	0	0	0
