NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
46	1	-1	-1	62.103531	0	0	0	46	1.000000	0.000000	0.000000	0	0	0
36	1	-1	-1	63.117760	0	0	0	36	1.000000	0.000000	0.000000	0	0	0
31	1	-1	-1	64.121071	0	0	0	31	1.000000	0.000000	0.000000	0	0	0
27	1	-1	-1	65.131424	0	0	0	27	1.000000	0.000000	0.000000	0	0	0
39	1	-1	-1	66.135101	0	0	0	39	1.000000	0.000000	0.000000	0	0	0
33	1	-1	-1	67.136734	0	0	0	33	1.000000	0.000000	0.000000	0	0	0
28	1	-1	-1	68.143425	0	0	0	28	1.000000	0.000000	0.000000	0	0	0
36	1	-1	-1	69.145554	0	0	0	36	1.000000	0.000000	0.000000	0	0	0
46	1	-1	-1	70.147926	0	0	0	46	1.000000	0.000000	0.000000	0	0	0
55	1	-1	-1	71.151886	0	0	0	55	1.000000	0.000000	0.000000	0	0	0
49	1	-1	-1	72.153641	0	0	0	49	1.000000	0.000000	0.000000	0	0	0
75	1	-1	-1	73.172813	0	0	0	75	1.000000	0.000000	0.000000	0	0	0
62	1	-1	-1	74.175575	0	0	0	62	1.000000	0.000000	0.000000	0	0	0
54	1	-1	-1	75.177231	0	0	0	54	1.000000	0.000000	0.000000	0	0	0
55	1	-1	-1	76.195686	0	0	0	55	1.000000	0.000000	0.000000	0	0	0
52	1	-1	-1	77.199966	0	0	0	52	1.000000	0.000000	0.000000	0	0	0
67	1	-1	-1	78.207611	0	0	0	67	1.000000	0.000000	0.000000	0	0	0
86	1	-1	-1	79.209938	0	0	0	86	1.000000	0.000000	0.000000	0	0	0
71	1	-1	-1	80.210709	0	0	0	71	1.000000	0.000000	0.000000	0	0	0
79	1	-1	-1	81.215408	0	0	0	79	1.000000	0.000000	0.000000	0	0	0
83	1	-1	-1	82.216003	0	0	0	83	1.000000	0.000000	0.000000	0	0	0
113	1	-1	-1	83.222336	0	0	0	113	1.000000	0.000000	0.000000	0	0	0
97	1	-1	-1	84.231064	0	0	0	97	1.000000	0.000000	0.000000	0	0	0
96	1	-1	-1	85.233330	0	0	0	96	1.000000	0.000000	0.000000	0	0	0
87	1	-1	-1	86.235283	0	0	0	87	1.000000	0.000000	0.000000	0	0	0
70	1	-1	-1	87.246521	0	0	0	70	1.000000	0.000000	0.000000	0	0	0
57	1	-1	-1	88.251381	0	0	0	57	1.000000	0.000000	0.000000	0	0	0
58	1	-1	-1	89.254585	0	0	0	58	1.000000	0.000000	0.000000	0	0	0
68	1	-1	-1	90.257271	0	0	0	68	1.000000	0.000000	0.000000	0	0	0
75	1	-1	-1	91.257416	0	0	0	75	1.000000	0.000000	0.000000	0	0	0
65	1	-1	-1	92.257805	0	0	0	65	1.000000	0.000000	0.000000	0	0	0
58	1	-1	-1	93.259544	0	0	0	58	1.000000	0.000000	0.000000	0	0	0
64	1	-1	-1	94.261246	0	0	0	64	1.000000	0.000000	0.000000	0	0	0
77	1	-1	-1	95.267563	0	0	0	77	1.000000	0.000000	0.000000	0	0	0
106	1	-1	-1	96.268394	0	0	0	106	1.000000	0.000000	0.000000	0	0	0
102	1	-1	-1	97.269310	0	0	0	102	1.000000	0.000000	0.000000	0	0	0
97	1	-1	-1	98.277634	0	0	0	97	1.000000	0.000000	0.000000	0	0	0
88	1	-1	-1	99.284203	0	0	0	88	1.000000	0.000000	0.000000	0	0	0
81	1	-1	-1	100.297676	0	0	0	81	1.000000	0.000000	0.000000	0	0	0
110	1	-1	-1	101.309509	0	0	0	110	1.000000	0.000000	0.000000	0	0	0
132	1	-1	-1	102.310020	0	0	0	132	1.000000	0.000000	0.000000	0	0	0
152	1	-1	-1	103.310257	0	0	0	152	1.000000	0.000000	0.000000	0	0	0
160	1	-1	-1	104.311447	0	0	0	160	1.000000	0.000000	0.000000	0	0	0
179	1	-1	-1	105.318657	0	0	0	179	1.000000	0.000000	0.000000	0	0	0
180	1	-1	-1	106.320770	0	0	0	180	1.000000	0.000000	0.000000	0	0	0
194	1	-1	-1	107.327171	0	0	0	194	1.000000	0.000000	0.000000	0	0	0
230	1	-1	-1	108.330956	0	0	0	230	1.000000	0.000000	0.000000	0	0	0
206	1	-1	-1	109.334602	0	0	0	206	1.000000	0.000000	0.000000	0	0	0
169	1	-1	-1	110.339348	0	0	0	169	1.000000	0.000000	0.000000	0	0	0
195	1	-1	-1	111.342819	0	0	0	195	1.000000	0.000000	0.000000	0	0	0
178	1	-1	-1	112.344002	0	0	0	178	1.000000	0.000000	0.000000	0	0	0
195	1	-1	-1	113.344612	0	0	0	195	1.000000	0.000000	0.000000	0	0	0
218	1	-1	-1	114.345673	0	0	0	218	1.000000	0.000000	0.000000	0	0	0
242	1	-1	-1	115.347435	0	0	0	242	1.000000	0.000000	0.000000	0	0	0
242	1	-1	-1	116.347794	0	0	0	242	1.000000	0.000000	0.000000	0	0	0
260	1	-1	-1	117.352425	0	0	0	260	1.000000	0.000000	0.000000	0	0	0
279	1	-1	-1	118.353378	0	0	0	279	1.000000	0.000000	0.000000	0	0	0
328	1	-1	-1	119.353493	0	0	0	328	1.000000	0.000000	0.000000	0	0	0
303	1	-1	-1	120.355789	0	0	0	303	1.000000	0.000000	0.000000	0	0	0
333	1	-1	-1	121.358894	0	0	0	333	1.000000	0.000000	0.000000	0	0	0
346	1	-1	-1	122.367661	0	0	0	346	1.000000	0.000000	0.000000	0	0	0
354	1	-1	-1	123.367722	0	0	0	354	1.000000	0.000000	0.000000	0	0	0
348	1	-1	-1	124.368095	0	0	0	348	1.000000	0.000000	0.000000	0	0	0
348	1	-1	-1	125.369781	0	0	0	348	1.000000	0.000000	0.000000	0	0	0
379	1	-1	-1	126.370789	0	0	0	379	1.000000	0.000000	0.000000	0	0	0
352	1	-1	-1	127.371788	0	0	0	352	1.000000	0.000000	0.000000	0	0	0
346	1	-1	-1	128.373062	0	0	0	346	1.000000	0.000000	0.000000	0	0	0
339	1	-1	-1	129.376007	0	0	0	339	1.000000	0.000000	0.000000	0	0	0
397	1	-1	-1	130.378601	0	0	0	397	1.000000	0.000000	0.000000	0	0	0
420	1	-1	-1	131.380905	0	0	0	420	1.000000	0.000000	0.000000	0	0	0
419	1	-1	-1	132.380951	0	0	0	419	1.000000	0.000000	0.000000	0	0	0
460	1	-1	-1	133.381378	0	0	0	460	1.000000	0.000000	0.000000	0	0	0
489	1	-1	-1	134.382309	0	0	0	489	1.000000	0.000000	0.000000	0	0	0
479	1	-1	-1	135.384720	0	0	0	479	1.000000	0.000000	0.000000	0	0	0
496	1	-1	-1	136.386322	0	0	0	496	1.000000	0.000000	0.000000	0	0	0
487	1	-1	-1	137.387939	0	0	0	487	1.000000	0.000000	0.000000	0	0	0
501	1	-1	-1	138.388214	0	0	0	501	1.000000	0.000000	0.000000	0	0	0
477	1	-1	-1	139.388763	0	0	0	477	1.000000	0.000000	0.000000	0	0	0
434	1	-1	-1	140.390396	0	0	0	434	1.000000	0.000000	0.000000	0	0	0
449	1	-1	-1	141.391205	0	0	0	449	1.000000	0.000000	0.000000	0	0	0
507	1	-1	-1	142.391907	0	0	0	507	1.000000	0.000000	0.000000	0	0	0
500	1	-1	-1	143.392075	0	0	0	500	1.000000	0.000000	0.000000	0	0	0
479	1	-1	-1	144.395203	0	0	0	479	1.000000	0.000000	0.000000	0	0	0
466	1	-1	-1	145.395325	0	0	0	466	1.000000	0.000000	0.000000	0	0	0
474	1	-1	-1	146.396255	0	0	0	474	1.000000	0.000000	0.000000	0	0	0
506	1	-1	-1	147.396591	0	0	0	506	1.000000	0.000000	0.000000	0	0	0
536	1	-1	-1	148.396667	0	0	0	536	1.000000	0.000000	0.000000	0	0	0
533	1	-1	-1	149.398941	0	0	0	533	1.000000	0.000000	0.000000	0	0	0
533	1	-1	-1	150.400269	0	0	0	533	1.000000	0.000000	0.000000	0	0	0
492	1	-1	-1	151.400452	0	0	0	492	1.000000	0.000000	0.000000	0	0	0
466	1	-1	-1	152.401367	0	0	0	466	1.000000	0.000000	0.000000	0	0	0
503	1	-1	-1	153.403580	0	0	0	503	1.000000	0.000000	0.000000	0	0	0
495	1	-1	-1	154.404938	0	0	0	495	1.000000	0.000000	0.000000	0	0	0
488	1	-1	-1	155.408066	0	0	0	488	1.000000	0.000000	0.000000	0	0	0
513	1	-1	-1	156.410782	0	0	0	513	1.000000	0.000000	0.000000	0	0	0
511	1	-1	-1	157.416290	0	0	0	511	1.000000	0.000000	0.000000	0	0	0
553	1	-1	-1	158.417145	0	0	0	553	1.000000	0.000000	0.000000	0	0	0
535	1	-1	-1	159.417343	0	0	0	535	1.000000	0.000000	0.000000	0	0	0
513	1	-1	-1	160.420151	0	0	0	513	1.000000	0.000000	0.000000	0	0	0
518	1	-1	-1	161.420593	0	0	0	518	1.000000	0.000000	0.000000	0	0	0
537	1	-1	-1	162.421692	0	0	0	537	1.000000	0.000000	0.000000	0	0	0
564	1	-1	-1	163.422226	0	0	0	564	1.000000	0.000000	0.000000	0	0	0
607	1	-1	-1	164.422546	0	0	0	607	1.000000	0.000000	0.000000	0	0	0
614	1	-1	-1	165.428162	0	0	0	614	1.000000	0.000000	0.000000	0	0	0
584	1	-1	-1	166.428726	0	0	0	584	1.000000	0.000000	0.000000	0	0	0
590	1	-1	-1	167.430161	0	0	0	590	1.000000	0.000000	0.000000	0	0	0
642	1	-1	-1	168.430496	0	0	0	642	1.000000	0.000000	0.000000	0	0	0
598	1	-1	-1	169.430588	0	0	0	598	1.000000	0.000000	0.000000	0	0	0
595	1	-1	-1	170.431839	0	0	0	595	1.000000	0.000000	0.000000	0	0	0
594	1	-1	-1	171.432007	0	0	0	594	1.000000	0.000000	0.000000	0	0	0
617	1	-1	-1	172.433395	0	0	0	617	1.000000	0.000000	0.000000	0	0	0
609	1	-1	-1	173.433960	0	0	0	609	1.000000	0.000000	0.000000	0	0	0
592	1	-1	-1	174.434860	0	0	0	592	1.000000	0.000000	0.000000	0	0	0
634	1	-1	-1	175.435471	0	0	0	634	1.000000	0.000000	0.000000	0	0	0
673	1	-1	-1	176.436005	0	0	0	673	1.000000	0.000000	0.000000	0	0	0
669	1	-1	-1	177.436478	0	0	0	669	1.000000	0.000000	0.000000	0	0	0
686	1	-1	-1	178.436798	0	0	0	686	1.000000	0.000000	0.000000	0	0	0
731	1	-1	-1	179.437851	0	0	0	731	1.000000	0.000000	0.000000	0	0	0
765	1	-1	-1	180.439590	0	0	0	765	1.000000	0.000000	0.000000	0	0	0
761	1	-1	-1	181.440338	0	0	0	761	1.000000	0.000000	0.000000	0	0	0
824	1	-1	-1	182.440384	0	0	0	821	1.000000	0.000000	0.000000	0	0	0
883	1	-1	-1	183.440399	0	0	0	881	1.000000	0.000000	0.000000	0	0	0
863	1	-1	-1	184.440491	0	0	0	860	1.000000	0.000000	0.000000	0	0	0
865	1	-1	-1	185.440918	0	0	0	863	1.000000	0.000000	0.000000	0	0	0
953	1	-1	-1	186.441116	0	0	0	952	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	187.441452	0	0	0	1023	1.000000	0.000000	0.000000	0	0	0
1067	1	-1	-1	188.441650	0	0	0	1062	1.000000	0.000000	0.000000	0	0	0
1093	1	-1	-1	189.442917	0	0	0	1086	1.000000	0.000000	0.000000	0	0	0
1146	1	-1	-1	190.444031	0	0	0	1141	1.000000	0.000000	0.000000	0	0	0
1117	1	-1	-1	191.444229	0	0	0	1113	1.000000	0.000000	0.000000	0	0	0
1076	1	-1	-1	192.444397	0	0	0	1073	1.000000	0.000000	0.000000	0	0	0
1087	1	-1	-1	193.444962	0	0	0	1080	1.000000	0.000000	0.000000	0	0	0
1084	1	-1	-1	194.445190	0	0	0	1075	1.000000	0.000000	0.000000	0	0	0
1022	1	-1	-1	195.445190	0	0	0	1015	1.000000	0.000000	0.000000	0	0	0
1022	1	-1	-1	195.445190	1	1	0	7	1.098880	0.000000	181.877472	1	0	0
1136	1	-1	-1	196.446228	0	0	0	1130	1.000000	0.000000	0.000000	0	0	0
1136	1	-1	-1	196.446228	1	1	0	6	1.098880	0.000000	181.877472	1	0	0
1077	1	-1	-1	197.446548	0	0	0	1072	1.000000	0.000000	0.000000	0	0	0
1077	1	-1	-1	197.446548	1	1	0	5	1.098880	0.000000	181.877472	1	0	0
1029	1	-1	-1	198.447235	0	0	0	1027	1.000000	0.000000	0.000000	0	0	0
1029	1	-1	-1	198.447235	1	1	0	2	1.098880	0.000000	181.877472	1	0	0
1070	1	-1	-1	199.447845	0	0	0	1068	1.000000	0.000000	0.000000	0	0	0
1070	1	-1	-1	199.447845	1	1	0	2	1.098880	0.000000	181.877472	1	0	0
1102	1	-1	-1	200.448257	0	0	0	1100	1.000000	0.000000	0.000000	0	0	0
1102	1	-1	-1	200.448257	1	1	0	2	1.098880	0.000000	181.877472	1	0	0
1140	1	-1	-1	201.448685	0	0	0	1138	1.000000	0.000000	0.000000	0	0	0
1140	1	-1	-1	201.448685	1	1	0	2	1.098880	0.000000	181.877472	1	0	0
1193	1	-1	-1	202.448730	0	0	0	1191	1.000000	0.000000	0.000000	0	0	0
1193	1	-1	-1	202.448730	1	1	0	2	1.098880	0.000000	181.877472	1	0	0
1172	1	-1	-1	203.450470	0	0	0	1172	1.000000	0.000000	0.000000	0	0	0
1172	1	-1	-1	203.450470	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1235	1	-1	-1	204.450867	0	0	0	1235	1.000000	0.000000	0.000000	0	0	0
1235	1	-1	-1	204.450867	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1370	1	-1	-1	205.451187	0	0	0	1370	1.000000	0.000000	0.000000	0	0	0
1370	1	-1	-1	205.451187	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1352	1	-1	-1	206.451752	0	0	0	1352	1.000000	0.000000	0.000000	0	0	0
1352	1	-1	-1	206.451752	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1423	1	-1	-1	207.451813	0	0	0	1423	1.000000	0.000000	0.000000	0	0	0
1423	1	-1	-1	207.451813	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
1398	1	-1	-1	208.452103	0	0	0	1398	1.000000	0.000000	0.000000	0	0	0
1398	1	-1	-1	208.452103	1	1	0	0	1.098880	0.000000	181.877472	1	0	0
