Parent,Identity,Population
0,0,0
0,0a,0
0a,0b,0
0b,0c,0
0c,1,0.15
1,3a,0
3a,3,0.85
1,2a,0
2a,2,1.78
2,6,0.44
2,4,1.24
4,5,0.42
