Parent,Identity,Population
0,0,0
0,0a,0
0a,1,0.34
1,4a,0
4a,4b,0
4b,4,1.68
1,6,0.24
4,8,0.99
8,5,0.17
6,7,0.81
7,3,0.16
6,2,0.94
