Parent,Identity,Population
0,0,0
0,0_11q13,0
0_11q13,0_14q13,0
0_14q13,0_14q21,0
0_14q21,0_15q15,0
0_15q15,0_17p13,67
0_17p13,paleorange,11
0_17p13,pink,121
paleorange,palegreen,3
palegreen,red,65
palegreen,darkgreen,111
palegreen,darkblue,59
red,darkorange,102
red,yellow,61
