Parent,Identity,Population
0,0,0
0,0_2q31,0
0_2q31,0_3q,0
0_3q,0_12q,0
0_12q,0_14q,0
0_14q,0_17p,8
0_17p,7,1
0_17p,8,131
7,10,59
7,12,0
10,15,36
15,4,36
15,6,0
6,6_20q,82
15,2,0
2,2_3p,0
2_3p,2_3q,0
2_3q,2_8q,23
12,11,13
12,3,30
11,17,42
11,9,97
17,13,42
