Parent,Identity,Population
0,0,0
0,vhl,0
vhl,3p,0
3p,pbrm1,1
pbrm1,pik3ca,6
3p,lrrk2,0
lrrk2,bap1,0
bap1,3q,0
3q,4p,1
pbrm1,setd2a,1
pbrm1,setd2b,0
setd2b,20p,1
4p,4q,1
