Parent,Identity,Population
0,0,0
0,vhl,0
vhl,3p,2
3p,bap1a,13
bap1a,1,8
1,atm,0
atm,15q_gain,1
1,fyb,0
fyb,15q_loss,1
1,10q,1
bap1a,4p,1
3p,col11a1,5
col11a1,8p,1
3p,mdn1,1
mdn1,setd2a,1
mdn1,setd2b,1
3p,obscn,0
obscn,bap1b,2
3p,bap1c,2
3p,bap1d,1
bap1d,med12,1
3p,tp53,1
3p,mtor,0
mtor,bap1e,0
bap1e,17q,1
3p,csmd3,0
csmd3,setd2c,1
