Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
3237	49	2373	2373	3	0	1	0	2.199476	0.001458	614.688599	3237
16	49	2536	2536	3	0	1	0	1.749964	0.001458	619.962769	16
22	2082	2263	2263	4	0	1	0	2.177521	0.001458	610.908691	22
288	1804	3319	3319	6	0	1	3	3.686061	0.001458	639.452759	288
6595	49	2283	2283	3	0	1	0	2.467257	0.001458	611.526245	6596
91	709	2300	2300	5	0	1	3	3.297204	0.001458	612.211548	91
1051	1547	2477	2477	6	0	1	1	4.073709	0.001458	617.928162	1051
1743	1547	2301	2301	6	0	1	1	3.889223	0.001458	612.236389	1814
17	359	2362	2362	5	0	1	0	2.322926	0.001458	614.309692	17
966	59	2313	2313	3	0	1	1	1.933540	0.001458	612.505005	966
1828	747	2314	2314	5	0	1	1	2.647115	0.001458	612.511475	1828
78	49	2424	2424	3	0	1	0	1.749361	0.001458	616.340332	78
6406	1417	2505	2505	5	0	1	0	3.974755	0.001458	619.185242	6406
113	59	2416	2416	3	0	1	1	1.835972	0.001458	615.934082	113
225	49	2520	2520	3	0	1	0	1.861138	0.001458	619.517395	225
13985	709	2423	2423	5	0	1	3	4.223260	0.001458	616.304993	14003
6	1219	2575	2575	5	0	1	1	3.031883	0.001458	621.381897	6
391	59	2501	2501	3	0	1	1	1.909685	0.001458	619.104126	391
37	1417	3415	3415	5	0	1	0	3.609569	0.001458	641.548889	37
8	59	2533	2533	3	0	1	1	2.106055	0.001458	619.933899	8
1182	59	2821	2821	3	0	1	1	2.175262	0.001458	627.858276	1182
45	49	2517	2517	3	0	1	0	2.112325	0.001458	619.432068	45
616	1417	2777	2777	5	0	1	0	3.780310	0.001458	626.870422	616
4523	1417	2640	2640	5	0	1	0	3.907777	0.001458	623.077515	4523
452	1417	2600	2600	5	0	1	1	3.549276	0.001458	622.043091	452
1622	1786	2594	2594	6	0	1	3	3.774324	0.001458	621.898743	1819
39	59	2844	2844	3	0	1	1	1.947329	0.001458	628.702576	39
7052	1547	2641	2641	6	0	1	1	4.523110	0.001458	623.088013	7052
33	49	3533	3533	3	0	1	1	1.914552	0.001458	644.377747	33
888	709	3121	3121	5	0	1	3	3.502741	0.001458	635.271851	888
1199	49	2723	2723	3	0	1	0	2.163823	0.001458	625.150208	1199
62	49	2657	2657	3	0	1	0	1.757500	0.001458	623.652527	62
662	49	2663	2663	3	0	1	0	1.997255	0.001458	623.755249	662
323	59	2677	2677	3	0	1	1	1.944595	0.001458	624.052795	323
3483	1036	2965	2965	4	0	1	1	2.798703	0.001458	631.935974	3485
42	759	2961	2961	5	0	1	1	2.884793	0.001458	631.903870	42
28	59	2765	2765	3	0	1	1	1.764567	0.001458	626.583618	28
499	2010	2722	2722	6	0	1	0	4.372092	0.001458	625.148499	499
23	59	2688	2688	3	0	1	1	1.753672	0.001458	624.286011	23
642	59	2860	2860	3	0	1	1	2.129178	0.001458	629.145813	642
11236	1417	2997	2997	5	0	1	0	4.556660	0.001458	632.548584	11236
645	1036	2792	2792	4	0	1	1	2.577516	0.001458	627.175720	645
96	1036	2812	2812	4	0	1	2	2.236696	0.001458	627.572083	96
126	59	2817	2817	3	0	1	1	1.750794	0.001458	627.788879	126
11	49	3504	3504	3	0	1	1	1.726477	0.001458	643.761230	11
15	1417	3930	3930	5	0	1	1	3.476016	0.001458	652.953552	15
447	1786	3021	3021	6	0	1	3	3.873127	0.001458	633.261719	447
65	1547	3022	3022	6	0	1	2	3.594190	0.001458	633.275269	65
99	2010	3264	3264	6	0	1	0	4.364779	0.001458	638.304077	122
942	49	2978	2978	3	0	1	0	2.193739	0.001458	632.238037	942
28	59	2929	2929	3	0	1	1	1.896939	0.001458	631.228699	28
73	1417	3236	3236	5	0	1	0	3.559026	0.001458	637.955933	73
12676	2010	2969	2969	6	0	1	0	5.353469	0.001458	631.987671	12677
610	1804	2966	2966	6	0	1	3	3.926828	0.001458	631.965149	610
467	59	3019	3019	3	0	1	1	2.029153	0.001458	633.148682	467
13	1219	3523	3523	5	0	1	0	3.227575	0.001458	644.178894	13
1	2283	3865	3865	4	0	0	0	2.475326	0.001458	651.790527	1
274	1417	3197	3197	5	0	1	0	3.702081	0.001458	636.949890	274
98	59	2995	2995	3	0	1	1	1.881177	0.001458	632.541626	98
77	59	3598	3598	3	0	1	1	2.090317	0.001458	645.866333	77
48	59	3446	3446	3	0	1	2	1.951443	0.001458	642.404785	48
112	1547	3157	3157	6	0	1	2	3.649256	0.001458	636.059998	112
1	49	3953	3953	3	0	0	0	1.778856	0.001458	653.414490	1
322	49	3209	3209	3	0	1	0	1.980246	0.001458	637.223450	322
