Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
8047	353	905	905	3	0	1	0	1.550144	0.000000	482.457733	8192
448	235	890	890	3	0	1	0	1.329815	0.000000	481.126282	448
8	0	1004	1004	1	0	1	0	1.011313	0.000000	489.732849	8
8	10	1656	1656	2	0	1	0	1.140205	0.000000	523.632568	8
1923	10	939	939	2	0	1	0	1.237999	0.000000	484.741394	1923
10	10	1386	1386	2	0	1	0	1.073220	0.000000	510.901520	10
1992	137	1269	1269	2	0	1	2	1.712636	0.000000	504.846191	1992
1088	232	1177	1177	3	0	1	1	1.589203	0.000000	500.737701	1088
8097	10	1022	1022	2	0	1	0	1.284278	0.000000	491.313751	8097
51	615	1260	1260	2	0	1	0	1.138190	0.000000	504.411743	51
2443	137	1346	1346	2	0	1	1	1.515460	0.000000	508.888794	2443
2634	560	987	987	2	0	1	0	1.351297	0.000000	488.435089	2634
2009	10	1005	1005	2	0	1	0	1.312748	0.000000	489.754700	2009
14	0	1121	1121	1	0	1	0	1.058477	0.000000	497.344269	14
18	343	1448	1448	4	0	1	0	2.565426	0.000000	514.034241	18
10	583	1201	1201	3	0	1	0	1.240091	0.000000	501.778961	10
214	431	1135	1135	3	0	1	0	1.518685	0.000000	498.069611	214
1011	61	1061	1061	2	0	1	0	1.434817	0.000000	493.272552	1011
2	599	1875	1875	5	0	0	0	3.616370	0.000000	531.081238	2
1990	235	1109	1109	3	0	1	0	1.476086	0.000000	496.898499	1990
50	10	1043	1043	2	0	1	1	1.069578	0.000000	492.324890	50
37	432	1105	1105	3	0	1	0	1.676641	0.000000	496.710724	37
211	0	1075	1075	1	0	1	0	1.010742	0.000000	494.635101	211
22	10	1343	1343	2	0	1	1	1.078593	0.000000	508.631683	22
10	0	1753	1753	1	0	1	0	1.163853	0.000000	527.597717	10
40	232	1367	1367	3	0	1	0	1.363103	0.000000	509.837219	40
746	893	1170	1170	5	0	1	0	2.916402	0.000000	500.230530	746
324	0	1204	1204	1	0	1	0	1.168382	0.000000	502.012634	324
134	0	1207	1207	1	0	1	0	1.040325	0.000000	502.057251	134
465	766	1183	1183	3	0	1	1	1.548298	0.000000	500.912109	465
