Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
15554	0	46	46	1	0	1	0	1.339509	0.001458	322.300964	1000000
0	46	195	195	2	0	1	0	1.661693	0.001458	457.219116	227866
65235	46	213	213	2	0	1	0	1.735073	0.001458	465.340393	177006
62295	46	358	358	2	0	1	0	2.019532	0.001458	515.340820	283075
39783	46	388	388	2	0	1	1	1.986141	0.001458	523.526245	195999
18	46	455	455	2	0	1	0	1.734195	0.001458	537.077026	1882
46286	46	610	610	2	0	1	0	1.697545	0.001458	566.850647	64754
15056	388	572	572	3	0	1	1	2.422056	0.001458	560.859009	62019
96206	358	559	559	3	0	1	0	2.383014	0.001458	558.821533	142664
18189	358	678	678	3	0	1	0	2.611340	0.001458	579.833740	53580
375	195	587	587	3	0	1	0	2.396741	0.001458	563.091125	227866
12602	46	617	617	2	0	1	0	1.627140	0.001458	568.565674	12602
0	358	702	702	3	0	1	0	2.616511	0.001458	583.524719	4558
1972	388	689	689	3	0	1	1	2.492321	0.001458	581.397583	41702
1082	213	758	758	3	0	1	1	1.956605	0.001458	590.841003	3626
9013	46	959	959	2	0	1	0	1.805772	0.001458	611.319885	11240
55160	213	1241	1241	3	0	1	1	2.593041	0.001458	633.816956	99444
357	358	1057	1057	3	0	1	0	2.449311	0.001458	618.873352	357
3084	572	1174	1174	4	0	1	1	2.677629	0.001458	628.647766	3084
5238	358	1188	1188	3	0	1	0	2.419572	0.001458	629.741882	13117
0	587	1291	1291	4	0	1	1	3.063081	0.001458	637.902893	227491
5	358	1154	1154	3	0	1	1	2.635575	0.001458	626.842651	5
10668	689	1251	1251	4	0	1	1	3.338693	0.001458	634.498474	39727
97	358	1302	1302	3	0	1	0	2.641031	0.001458	638.629456	514
34479	572	1340	1340	4	0	1	1	3.031592	0.001458	641.508179	35971
495	678	1410	1410	4	0	1	0	2.752476	0.001458	646.417603	495
4494	46	1677	1677	2	0	1	1	1.846299	0.001458	662.661316	4517
0	758	1439	1439	4	0	1	1	2.265022	0.001458	648.100769	1929
11406	678	1457	1457	4	0	1	0	2.919863	0.001458	649.485657	11406
0	388	1467	1467	3	0	1	1	2.365871	0.001458	650.247498	60
462	559	1703	1703	4	0	1	0	2.627146	0.001458	664.082764	462
4880	572	1555	1555	4	0	1	1	2.845830	0.001458	655.335022	6348
33211	1241	2120	2120	4	0	1	1	3.206467	0.001458	683.176941	34269
156258	1291	1649	1649	5	0	1	1	4.037108	0.001458	661.086792	227491
13105	559	1924	1924	4	0	1	1	3.105128	0.001458	675.777405	14184
6265	1188	1774	1774	4	0	1	0	2.836001	0.001458	668.169922	6312
742	1241	1994	1994	4	0	1	1	2.792132	0.001458	678.800110	742
12544	678	1837	1837	4	0	1	0	3.341111	0.001458	671.885620	14413
3523	559	2016	2016	4	0	1	0	2.860783	0.001458	679.316711	3523
162	572	2000	2000	4	0	1	1	2.584752	0.001458	678.913269	162
