Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
23.179445	8193	128497	120305	0	5.049921	0.024289	5.514330	0.023699	1.001358e+00	8.086067e-11	7.410777e-05	0.000000e+00	3167	3167	2	1	1	8806	4	24595	7994	199	0	0	0	0	0	0	0	0	0
24.179989	8193	136615	128423	0	5.233004	0.022580	5.571118	0.022070	1.001263e+00	8.086067e-11	6.901231e-05	0.000000e+00	3122	3122	2	1	1	9190	4	26092	8008	185	0	0	0	0	0	0	0	0	0
25.180029	8193	144884	136692	0	5.457586	0.026852	5.954050	0.026131	1.001502e+00	8.086067e-11	8.171315e-05	0.000000e+00	3194	3194	2	1	1	9721	4	27701	7973	220	0	0	0	0	0	0	0	0	0
26.180286	8193	153162	144970	0	5.608690	0.026974	5.950648	0.026247	1.001508e+00	8.086067e-11	8.207116e-05	0.000000e+00	3196	3196	2	1	1	10173	4	29253	7972	221	0	0	0	0	0	0	0	0	0
27.180506	8193	161250	153058	0	5.854754	0.031979	6.117287	0.030956	1.001788e+00	8.086067e-11	9.679999e-05	0.000000e+00	3147	3147	2	1	1	10584	4	30768	7931	262	0	0	0	0	0	0	0	0	0
28.180590	8193	169411	161219	0	6.035396	0.033931	6.191570	0.032780	1.001897e+00	8.086067e-11	1.025004e-04	0.000000e+00	3242	3242	2	1	1	11134	4	32384	7915	278	0	0	0	0	0	0	0	0	0
29.180611	8193	177761	169569	0	6.172831	0.038570	6.426362	0.037081	1.002157e+00	8.086067e-11	1.159530e-04	0.000000e+00	3191	3191	2	1	1	11584	4	33965	7877	316	0	0	0	0	0	0	0	0	0
30.180630	8193	186044	177852	0	6.423410	0.042353	6.806346	0.040561	1.002368e+00	8.086067e-11	1.268263e-04	0.000000e+00	3238	3238	2	1	1	12126	4	35626	7846	347	0	0	0	0	0	0	0	0	0
31.180649	8193	194336	186144	0	6.580984	0.047968	7.119276	0.045666	1.002691e+00	8.086067e-11	1.448913e-04	0.000000e+00	3180	3180	4	1	1	12533	5	37210	7800	393	0	0	0	0	0	0	0	0	0
32.180683	8193	202441	194249	0	6.821555	0.046503	7.186040	0.044341	1.002630e+00	8.086067e-11	1.435099e-04	0.000000e+00	3174	3174	3	1	1	12979	5	38746	7812	381	0	0	0	0	0	0	0	0	0
33.180748	8193	210748	202556	0	7.017088	0.051996	7.473417	0.049293	1.002935e+00	8.086067e-11	1.585326e-04	0.000000e+00	3116	3116	4	1	1	13431	5	40290	7767	426	0	0	0	0	0	0	0	0	0
34.180752	8193	218897	210705	0	7.238985	0.049310	7.629252	0.046880	1.002785e+00	8.086067e-11	1.509984e-04	0.000000e+00	3194	3194	4	1	1	13938	5	41876	7789	404	0	0	0	0	0	0	0	0	0
35.180851	8193	227302	219110	0	7.494446	0.050531	8.424237	0.047978	1.002839e+00	8.086067e-11	1.522299e-04	0.000000e+00	3174	3174	4	1	1	14393	5	43419	7779	414	0	0	0	0	0	0	0	0	0
36.180862	8193	235471	227279	0	7.739656	0.053216	8.932956	0.050385	1.002997e+00	8.086067e-11	1.609573e-04	0.000000e+00	3155	3155	4	1	1	14850	5	44915	7757	436	0	0	0	0	0	0	0	0	0
37.180912	8193	243680	235488	0	7.935067	0.052850	8.883171	0.050059	1.002985e+00	8.086067e-11	1.613646e-04	0.000000e+00	3201	3201	3	1	1	15339	5	46485	7760	433	0	0	0	0	0	0	0	0	0
38.180935	8193	252001	243809	0	8.152935	0.055291	8.915356	0.052233	1.003150e+00	8.086067e-11	1.729858e-04	0.000000e+00	3144	3144	3	1	1	15767	5	48102	7740	453	0	0	0	0	0	0	0	0	0
39.181137	8193	260377	252185	0	8.353961	0.064445	8.859466	0.060291	1.003648e+00	8.086067e-11	1.957346e-04	0.000000e+00	3133	3133	3	1	1	16232	5	49696	7665	528	0	0	0	0	0	0	0	0	0
40.181171	8193	268633	260441	0	8.603198	0.065544	8.927467	0.061249	1.003687e+00	8.086067e-11	1.951156e-04	0.000000e+00	3150	3150	3	1	1	16694	5	51309	7656	537	0	0	0	0	0	0	0	0	0
41.181213	8193	276751	268559	0	8.898328	0.074576	9.015494	0.069012	1.004185e+00	8.086067e-11	2.181939e-04	0.000000e+00	3173	3173	3	1	1	17154	5	52828	7582	611	0	0	0	0	0	0	0	0	0
42.181244	8193	284864	276672	0	9.075064	0.073233	9.287817	0.067871	1.004123e+00	8.086067e-11	2.175829e-04	0.000000e+00	3177	3177	4	1	1	17613	5	54387	7593	600	0	0	0	0	0	0	0	0	0
43.181461	8193	293104	284912	0	9.256316	0.077383	9.372403	0.071393	1.004356e+00	8.086067e-11	2.285838e-04	0.000000e+00	3154	3154	4	1	1	18057	5	55965	7559	634	0	0	0	0	0	0	0	0	0
