Parent,Identity,Population
0,0,0
0,EIF,0
EIF,6p,0
6p,8q,0
8q,B,0
B,C,0
C,D,9.73
C,E,0.39
B,F,0
F,G,14.45
F,H,41.68
8q,I,0
I,J,8.27
I,K,19.69
I,L,0
L,M,5.17
L,N,0.62
