Parent,Identity,Population
0,0,0
0,EIF,0
EIF,6p,0
6p,8q,0
8q,B,0
B,C,0
C,D,13.89
C,E,2.73
B,F,0
F,G,3.32
F,H,0.39
8q,I,0
I,J,0
J,K,34.45
J,L,40.38
I,M,0
M,N,1.91
M,O,2.93
