Parent,Identity,Population
0,0,0
0,8p,0
8p,8q,0
8q,6q,0
6q,GNA,0
GNA,BAP,0
BAP,3p,0
3p,3q,0
3q,B,0
B,C,0
C,C_3q,0
C_3q,D,2.39
C,E,60.93
B,F,0
F,G,20.83
F,H,7.56
3q,I,0
I,J,0
J,K,6.38
J,L,1.12
I,M,0
M,N,0.45
M,O,0.33
