Parent,Identity,Population
0,0,0
0,3q,0
3q,6pLOH,0
6pLOH,6pgain,0
6pgain,8p,0
8p,8q,0
8q,GNA,0
GNA,BAP,0
BAP,1p,0
1p,1qLOH,0
1qLOH,1qgain,0
1qgain,B,0
B,C,0
C,D,4.85
C,E,20
B,F,5.61
B,G,3.94
1qgain,H,0
H,I,0
I,J,31.67
I,K,3.03
H,L,0
L,M,17.42
L,N,13.48
