Parent,Identity,Population
0,0,0
0,3q,0
3q,8p,0
8p,8q,0
8q,GNA,0
GNA,BAP,0
BAP,B,0
B,B_5p,0
B_5p,C,53.87
B,D,7.9
B,E,0
E,F,8.43
E,G,4.29
BAP,H,0
H,I,0
I,J,4.97
I,K,7.37
H,L,0
L,M,12.63
L,N,0.53
