Parent,Identity,Population
0,0,0
0,3q,0
3q,6p,0
6p,6q,0
6q,8p,0
8p,8q,0
8q,GNA,0
GNA,1p,0
1p,1q,0
1q,B,0
B,C,0
C,D,22.77
C,E,10.95
B,F,0
F,G,16.82
F,H,3.29
1q,I,0
I,J,0
J,K,19.41
J,L,14.79
I,M,0
M,N,3.21
M,O,8.76
