Parent,Identity,Population
0,0,2
0,bap1a,13
bap1a,1,8
1,atm,1
1,fyb,1
1,10q,1
bap1a,4p,1
0,col11a1,5
col11a1,8p,1
0,mdn1,1
mdn1,setd2a,1
mdn1,setd2b,1
0,obscn,2
0,bap1c,2
0,bap1d,1
bap1d,med12,1
0,tp53,1
0,mtor,1
0,csmd3,1
