Parent,Identity,Population
0,0,20
0,10,43
0,11,10
10,2,26
10,1,94
10,5,90
2,12,35
2,15,26
12,7,52
15,9,41
11,14,3
11,6,86
14,8,78
14,3,81
8,18,15
