Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1SamplesAtDepth0	DriverDiversityFrom1SamplesAtDepth1	DriverDiversityFrom1SamplesAtDepth2	DriverDiversityFrom1SamplesAtDepth3	DriverDiversityFrom1SamplesAtDepth4	DriverDiversityFrom1SamplesAtDepth5	DriverDiversityFrom1SamplesAtDepth6	DriverDiversityFrom1SamplesAtDepth7	DriverDiversityFrom1SamplesAtDepth8	DriverDiversityFrom1SamplesAtDepth9	DriverDiversityFrom1SamplesAtDepth10	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigSamplesAtDepth0	DriverDiversityFrom1BigSamplesAtDepth1	DriverDiversityFrom1BigSamplesAtDepth2	DriverDiversityFrom1BigSamplesAtDepth3	DriverDiversityFrom1BigSamplesAtDepth4	DriverDiversityFrom1BigSamplesAtDepth5	DriverDiversityFrom1BigSamplesAtDepth6	DriverDiversityFrom1BigSamplesAtDepth7	DriverDiversityFrom1BigSamplesAtDepth8	DriverDiversityFrom1BigSamplesAtDepth9	DriverDiversityFrom1BigSamplesAtDepth10	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2SamplesAtDepth0	DriverDiversityFrom2SamplesAtDepth1	DriverDiversityFrom2SamplesAtDepth2	DriverDiversityFrom2SamplesAtDepth3	DriverDiversityFrom2SamplesAtDepth4	DriverDiversityFrom2SamplesAtDepth5	DriverDiversityFrom2SamplesAtDepth6	DriverDiversityFrom2SamplesAtDepth7	DriverDiversityFrom2SamplesAtDepth8	DriverDiversityFrom2SamplesAtDepth9	DriverDiversityFrom2SamplesAtDepth10	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigSamplesAtDepth0	DriverDiversityFrom2BigSamplesAtDepth1	DriverDiversityFrom2BigSamplesAtDepth2	DriverDiversityFrom2BigSamplesAtDepth3	DriverDiversityFrom2BigSamplesAtDepth4	DriverDiversityFrom2BigSamplesAtDepth5	DriverDiversityFrom2BigSamplesAtDepth6	DriverDiversityFrom2BigSamplesAtDepth7	DriverDiversityFrom2BigSamplesAtDepth8	DriverDiversityFrom2BigSamplesAtDepth9	DriverDiversityFrom2BigSamplesAtDepth10	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4SamplesAtDepth0	DriverDiversityFrom4SamplesAtDepth1	DriverDiversityFrom4SamplesAtDepth2	DriverDiversityFrom4SamplesAtDepth3	DriverDiversityFrom4SamplesAtDepth4	DriverDiversityFrom4SamplesAtDepth5	DriverDiversityFrom4SamplesAtDepth6	DriverDiversityFrom4SamplesAtDepth7	DriverDiversityFrom4SamplesAtDepth8	DriverDiversityFrom4SamplesAtDepth9	DriverDiversityFrom4SamplesAtDepth10	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigSamplesAtDepth0	DriverDiversityFrom4BigSamplesAtDepth1	DriverDiversityFrom4BigSamplesAtDepth2	DriverDiversityFrom4BigSamplesAtDepth3	DriverDiversityFrom4BigSamplesAtDepth4	DriverDiversityFrom4BigSamplesAtDepth5	DriverDiversityFrom4BigSamplesAtDepth6	DriverDiversityFrom4BigSamplesAtDepth7	DriverDiversityFrom4BigSamplesAtDepth8	DriverDiversityFrom4BigSamplesAtDepth9	DriverDiversityFrom4BigSamplesAtDepth10	DriverDiversityFrom4BigRandomSamples
602.955078	270000	6.866546	10.496046	98.850571	1.000000	1.104972	1.020200	1.040799	1.041220	1.040799	1.104972	1.127142	1.061797	1.040799	1.020200	6.321119	1.051580	1.062304	1.030556	1.084070	1.020303	1.073019	1.107974	1.051248	1.061797	1.083189	1.094032	6.303165	1.745810	1.784639	2.793589	2.765965	2.784740	2.618586	1.863829	1.917832	1.822985	1.056510	1.035612	6.374990	1.053350	1.044967	1.063918	1.052375	1.046693	1.059550	1.034648	1.059742	1.045013	1.040841	1.068173	5.978884	1.055848	1.066625	1.059074	1.061916	1.056525	1.039497	1.052735	1.064007	1.050380	1.052299	1.044967	6.888052	1.763374	1.754743	2.736891	2.766184	2.818937	2.508234	1.912293	1.886000	1.593677	1.047169	1.053350	7.001780
604.457642	275000	7.002168	10.536407	108.915527	1.083189	1.061797	1.104972	1.149690	1.107217	1.061797	1.040799	1.040799	1.172608	1.061797	1.040799	8.650529	1.117880	1.139796	1.164077	1.106501	1.107318	1.062248	1.118772	1.104972	1.083189	1.104972	1.083189	6.631282	1.829240	1.839884	1.668822	1.762774	2.850224	2.381572	2.020944	1.902829	1.902829	1.094032	1.094032	7.689336	1.059679	1.049151	1.070306	1.069904	1.097938	1.070867	1.094032	1.085350	1.076730	1.081032	1.061797	6.914895	1.104041	1.105182	1.081863	1.108894	1.085091	1.108315	1.113644	1.084112	1.084753	1.071374	1.066043	6.833354	1.774898	1.794122	1.744242	1.706336	2.661013	2.511650	1.928730	1.926874	1.875965	1.209058	1.082649	7.075394
604.592346	280000	7.071663	10.692841	101.595123	1.127142	1.104972	1.104972	1.149690	1.084062	1.104972	1.127142	1.083189	1.149690	1.149690	1.083189	6.631305	1.083600	1.073134	1.095110	1.062304	1.051847	1.084070	1.095615	1.104972	1.083189	1.094032	1.172608	5.961267	1.782571	1.817026	1.709950	1.699560	2.798449	2.470304	1.980641	1.858276	1.873049	1.061797	1.035612	8.179934	1.087515	1.053350	1.063918	1.076080	1.090619	1.091940	1.094426	1.098397	1.066043	1.091856	1.087515	7.015399	1.099629	1.124437	1.107487	1.128417	1.103841	1.112481	1.105503	1.090790	1.086615	1.085350	1.078879	6.544323	1.793336	1.829573	1.750269	1.743698	2.672332	2.504382	1.925738	1.937727	1.905302	1.202627	1.089683	7.086757
604.788452	285000	7.259693	10.556900	103.070206	1.020200	1.061797	1.020200	1.020200	1.104972	1.148115	1.040799	1.040799	1.149690	1.083189	1.020200	5.353333	1.139796	1.139796	1.095110	1.152339	1.175917	1.141075	1.041220	1.116009	1.116009	1.072444	1.116009	4.732586	1.817150	1.827193	1.804606	1.740985	2.840708	2.801078	1.931950	1.873049	1.948052	1.104972	1.061797	6.453138	1.055456	1.078879	1.074585	1.084505	1.069345	1.092249	1.095023	1.072444	1.089683	1.083189	1.076730	7.072423	1.112032	1.134768	1.108287	1.113776	1.094483	1.106846	1.117799	1.105971	1.098397	1.090769	1.090769	7.604490	1.800117	1.825027	1.750971	1.743598	2.795377	2.647603	1.951280	1.922793	1.898264	1.105893	1.085350	7.055363
610.193237	286721	9.780221	12.407514	119.599457	1.404889	1.243472	1.243472	1.243472	1.325355	1.195886	1.317176	1.317176	1.219512	1.292324	1.172608	8.210229	2.168962	2.266803	2.159128	1.913692	2.294338	2.166378	1.379937	1.317176	1.367615	1.367615	1.267748	8.510594	2.848699	2.783576	3.003792	3.005598	4.099201	4.007123	2.511432	2.165961	2.213586	1.310938	1.317176	9.058972	1.354588	1.254859	1.268878	1.306150	1.201159	1.249797	1.279377	1.304717	1.275091	1.289853	1.226666	9.986527	2.138825	2.126178	2.087340	2.136453	2.109045	1.897696	1.666811	1.380316	1.273865	1.250722	1.268970	9.085109	2.765239	2.849321	3.175491	2.934500	4.134299	3.767437	2.544354	2.319325	2.151921	1.296888	1.280000	9.447924
610.939941	290000	10.304099	12.191132	171.593063	1.292324	1.267748	1.342282	1.296344	1.502069	1.243472	1.317176	1.342282	1.367615	1.317176	1.444669	10.988994	2.140640	2.192261	2.304944	2.159361	2.153516	2.156102	1.787033	1.367615	1.342282	1.342282	1.342282	12.247278	2.917153	2.968881	3.286231	3.014004	3.001810	4.123534	2.924217	2.333631	2.261307	1.527993	1.298512	9.487626	1.286548	1.309446	1.271705	1.315913	1.307872	1.314221	1.337988	1.388025	1.334725	1.292324	1.314679	9.788975	2.255397	2.226742	2.229175	2.204058	2.245631	2.117064	1.855018	1.519981	1.339668	1.344805	1.351124	11.084408	2.826892	3.109923	3.330728	3.343220	3.282161	3.804509	2.847930	2.451779	2.264873	1.669007	1.322178	10.801279
611.023254	295000	10.528895	12.321711	102.004921	1.267748	1.444669	1.367615	1.317176	1.248895	1.317176	1.367615	1.267748	1.317176	1.367615	1.172608	9.542046	2.306007	2.269890	2.112602	2.358213	2.104800	2.240394	1.888803	1.304717	1.393146	1.317176	1.380358	10.735336	2.947026	3.014348	3.001313	3.388347	3.370545	3.960817	3.015007	2.333631	2.213586	1.530496	1.292324	11.472785	1.282870	1.266057	1.303567	1.278836	1.296920	1.335190	1.344805	1.372706	1.365072	1.393146	1.354922	10.503017	2.254011	2.210568	2.214535	2.201377	2.221268	2.156211	1.887423	1.594113	1.343442	1.359993	1.334725	11.905743	2.822216	3.182220	3.327709	3.340624	3.400674	3.802685	2.917765	2.542256	2.279919	1.609135	1.338501	10.612983
611.091919	300000	10.639461	11.477518	293.960297	1.367615	1.267748	1.243472	1.342282	1.433206	1.292324	1.292324	1.342282	1.418842	1.444669	1.393146	9.225119	2.373887	2.151232	2.072324	2.306007	2.328305	2.258101	2.104533	1.478852	1.535509	1.304717	1.342282	11.104871	3.075031	2.878440	3.287446	3.218415	3.493959	3.903264	2.919455	2.341754	2.324861	1.663156	1.380358	10.247168	1.316999	1.347880	1.329165	1.286263	1.286831	1.344813	1.349859	1.362532	1.317176	1.405975	1.309693	10.775714	2.247850	2.267422	2.251449	2.240247	2.293479	2.269443	2.023427	1.692903	1.455477	1.325935	1.310938	9.870030	2.884463	3.223207	3.397177	3.413976	3.405272	3.915497	3.002792	2.662405	2.391462	1.676478	1.353022	10.798887
611.177307	305000	10.642012	11.289426	531.916748	1.267748	1.267748	1.219512	1.470588	1.433206	1.470588	1.367615	1.418842	1.267748	1.317176	1.342282	9.861874	2.260653	2.169433	2.310536	2.209456	2.278994	2.306007	2.259076	1.458654	1.317176	1.380358	1.317176	10.970879	2.840404	3.105289	3.506464	3.239052	3.477584	3.195349	3.285714	2.316035	2.293110	1.789512	1.405975	9.569319	1.307665	1.298148	1.333735	1.297641	1.335276	1.324847	1.370160	1.359993	1.382912	1.347331	1.442082	10.867466	2.267247	2.265578	2.258522	2.251127	2.302276	2.248830	2.000973	1.711509	1.431373	1.344805	1.372706	10.101736	2.877780	3.230032	3.441280	3.357671	3.485193	3.771966	3.026442	2.713754	2.363335	1.786835	1.359358	10.758046
611.329346	310000	10.621153	11.448930	122.941895	1.317176	1.367615	1.444669	1.219512	1.459891	1.574307	1.444669	1.292324	1.342282	1.219512	1.496558	9.596847	2.318034	2.351005	2.310536	2.288068	2.246356	2.255300	2.429900	1.419340	1.342282	1.317176	1.292324	9.732360	3.035017	3.252285	3.495281	3.145933	3.602904	2.882512	3.135292	2.522411	2.247395	2.173897	1.323430	10.237945	1.327693	1.310619	1.381601	1.330651	1.346868	1.360165	1.352389	1.403406	1.395709	1.421420	1.347331	11.098428	2.291053	2.279706	2.240276	2.245251	2.276339	2.230390	2.080668	1.825435	1.543614	1.379153	1.365072	10.978331	2.973752	3.243269	3.484961	3.387007	3.470203	3.581571	3.107582	2.786422	2.370636	1.855306	1.377805	10.462383
612.047485	315000	11.184453	11.444150	98.932030	1.367615	1.444669	1.367615	1.367615	1.375931	1.522534	1.367615	1.418842	1.292324	1.444669	1.496558	9.803939	2.473105	2.277126	2.322611	2.385781	2.313466	2.509725	2.368546	2.426891	1.517566	1.444669	1.354922	13.097602	3.081310	3.215395	3.547672	3.434508	3.433117	2.608091	3.365493	3.382636	2.204195	2.265712	1.393146	12.999668	1.355487	1.394451	1.372706	1.344580	1.414862	1.433098	1.423998	1.431742	1.426578	1.449847	1.512280	10.386561	2.341130	2.348013	2.356476	2.296964	2.300200	2.355073	2.341627	2.121725	1.845402	1.618651	1.443528	11.037323	2.956452	3.394177	3.687659	3.544775	3.591750	3.455492	3.301173	3.452025	2.739803	2.220581	1.417240	11.265804
612.792847	320000	11.821135	11.855919	117.326889	1.393146	1.496558	1.470588	1.522534	1.418842	1.418842	1.418842	1.393146	1.367615	1.470588	1.650710	9.276242	2.399232	2.539038	2.408478	2.348244	2.367207	2.408478	2.466395	2.402402	2.089543	1.483570	1.329699	11.148163	2.945725	3.283180	4.014856	3.933122	3.694703	2.686567	3.461273	3.353705	2.567678	2.190641	1.457620	9.919353	1.375255	1.457620	1.472303	1.429269	1.489582	1.425411	1.370160	1.460212	1.421420	1.449847	1.775552	11.805489	2.403269	2.387116	2.446121	2.375536	2.365337	2.408768	2.396298	2.327365	2.087737	1.833483	1.745301	11.263301	3.088691	3.545832	3.973233	3.956205	3.756124	3.415439	3.362072	3.572538	2.980756	2.517219	1.575230	11.765014
612.913818	325000	11.936865	11.944267	101.667114	1.418842	1.724138	1.444669	1.600000	1.449638	1.393146	1.574307	1.675603	1.317176	1.393146	1.574307	12.690390	2.536140	2.348244	2.429838	2.367705	2.443451	2.366304	2.366304	2.385781	2.109299	1.342282	1.470588	13.140627	3.228149	3.188594	3.900347	4.000600	3.613360	2.537928	3.382442	3.378595	2.763180	2.301430	1.477078	10.851847	1.388669	1.440271	1.416981	1.493673	1.446436	1.456541	1.367615	1.429159	1.426578	1.467993	1.717341	12.382102	2.425015	2.367100	2.396740	2.386796	2.378024	2.436316	2.430332	2.326288	2.091515	1.769185	1.731421	11.431035	3.093117	3.572233	4.033243	3.851308	3.780678	3.371313	3.394028	3.525240	2.966457	2.578788	1.592736	11.945347
