Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
39	270	2017	2017	4	0	1	0	2.082050	0.001458	643.747742	39
4	1563	2062	2062	4	0	1	1	2.068429	0.001458	645.587891	4
1069	362	2063	2063	4	0	1	1	2.377771	0.001458	645.610962	1069
958	105	2119	2119	3	0	1	0	1.848849	0.001458	647.538818	958
1115	782	2244	2244	5	0	1	2	2.925022	0.001458	651.980042	1115
63	105	2177	2177	3	0	1	0	1.764255	0.001458	649.321472	705
14398	1422	2241	2241	5	0	1	1	3.501808	0.001458	651.863708	14951
423	65	2645	2645	4	0	1	0	1.848857	0.001458	664.213928	423
5178	362	2369	2369	4	0	1	1	2.770637	0.001458	656.208130	5178
172	105	2166	2166	3	0	1	0	1.792177	0.001458	648.935181	172
1107	1321	2910	2910	5	0	1	1	3.730954	0.001458	671.188721	1107
2318	105	2267	2267	3	0	1	0	2.176684	0.001458	652.682373	2318
3126	270	2285	2285	4	0	1	0	2.575412	0.001458	653.367126	3126
559	580	2839	2839	5	0	1	1	3.216139	0.001458	669.812073	559
8781	362	2220	2220	4	0	1	2	2.939099	0.001458	651.150940	8853
30	937	2259	2259	4	0	1	0	1.994375	0.001458	652.379333	30
16	65	3575	3575	4	0	1	0	1.798848	0.001458	686.813293	16
498	13	2216	2216	2	0	1	0	1.620853	0.001458	651.051880	498
232	813	2154	2154	6	0	1	0	2.709620	0.001458	648.473206	232
480	105	3186	3186	3	0	1	1	2.010217	0.001458	678.145996	480
33	270	2355	2355	4	0	1	1	2.354680	0.001458	655.839661	33
4883	1252	2416	2416	8	0	1	1	3.733790	0.001458	657.639404	4883
64	1644	3348	3348	5	0	1	1	2.651852	0.001458	681.705017	64
6149	1473	2346	2346	6	0	1	0	3.788177	0.001458	655.623840	6149
293	105	2350	2350	3	0	1	0	1.737457	0.001458	655.719604	293
375	782	2662	2662	5	0	1	2	2.821889	0.001458	664.705139	665
484	105	2553	2553	3	0	1	0	2.010700	0.001458	661.853210	484
3678	782	2431	2431	5	0	1	2	2.911704	0.001458	658.377686	3678
32	65	2516	2516	4	0	1	0	1.708919	0.001458	660.745117	32
258	105	2472	2472	3	0	1	0	1.764111	0.001458	659.484558	258
1154	782	2390	2390	5	0	1	2	2.989334	0.001458	656.698853	1154
211	1321	2474	2474	5	0	1	1	3.277736	0.001458	659.514465	211
896	148	2525	2525	5	0	1	0	2.275626	0.001458	660.911133	896
327	202	2462	2462	4	0	1	0	2.090947	0.001458	659.112183	327
6	270	2484	2484	4	0	1	0	2.180609	0.001458	659.797668	6
2165	105	2538	2538	3	0	1	0	2.328822	0.001458	661.371826	2165
508	782	2542	2542	5	0	1	2	2.688724	0.001458	661.498413	508
72	2220	3432	3432	5	0	1	2	3.107073	0.001458	683.627625	72
942	1648	2555	2555	6	0	1	2	2.988649	0.001458	661.902283	942
