Parent,Identity,Population
0,0,17.9
0,RUNX1pR166Q,3.3
RUNX1pR166Q,IDH1pR132C,0.9
IDH1pR132C,ASXL1pH630fs,3.5
ASXL1pH630fs,DNMT3ApR882C,23.4
