Parent,Identity,Population
0,0,6.8
0,SF3B1_pK666N,3.2
SF3B1_pK666N,FLT3_pD835V,15.8
FLT3_pD835V,RUNX1_pS141fs,49.4
RUNX1_pS141fs,JAK2_pV617F,21.1
