Parent,Identity,Population
0,0,0
0,A1,0
A1,a,0
a,11,45
a,12,19
a,13,79
A1,b,0
b,14,23
b,c,0
c,16,23
c,17,149
17,15,51
0,A2,0
A2,1,32
A2,3,134
3,4,66
3,6,39
A2,2,56
2,d,0
d,5,40
d,8,228
8,7,74
8,e,0
e,9,18
e,10,24
