Parent,Identity,Population
0,0,0
0,6,22
0,a,0
a,b,0
b,c,0
c,7,35
c,d,0
d,1,38
d,3,96
3,4,55
3,2,54
b,5,88
5,15,263
a,e,0
e,13,43
e,f,0
f,g,0
g,12,45
g,10,29
10,11,52
f,h,0
h,9,35
h,8,325
8,14,44
