Parent,Identity,Population
0,0,0
0,7,56
7,6,55
0,a,0
a,b,0
b,10,59
b,9,26
b,11,110
11,8,80
a,c,0
c,2,114
c,d,0
d,3,51
d,e,0
e,4,45
e,1,17
c,f,0
f,5,40
f,g,0
g,h,0
h,14,365
h,18,53
18,15,30
18,i,0
i,17,40
i,16,37
g,j,0
j,12,63
j,13,152
