Parent,Identity,Population
0,0,0
0,15,37
0,a,0
a,6,51
6,4,33
4,3,37
4,5,42
a,b,0
b,c,0
c,d,0
d,11,31
d,12,82
12,2,25
2,1,31
d,e,0
e,13,111
e,14,37
e,16,197
c,10,211
10,9,42
b,7,393
7,8,18
