Parent,Identity,Population
0,0,0
0,2,31
0,a,0
a,21,66
a,b,0
b,22,26
b,c,0
c,17,70
17,18,37
18,19,27
18,20,36
20,12,46
17,16,29
17,14,45
14,15,220
15,13,32
c,11,42
c,d,0
d,e,0
e,4,56
e,6,66
6,5,29
d,f,0
f,3,31
f,g,0
g,1,255
g,h,0
h,10,29
h,8,48
8,9,32
8,7,54
