Parent,Identity,Population
0,0,0
0,A1,0
A1,12,140
12,11,31
A1,a,0
a,13,43
a,b,0
b,14,34
b,15,156
0,A2,0
A2,c,0
c,3,55
c,d,0
d,2,22
d,1,23
A2,e,0
e,6,44
e,10,147
10,7,28
e,8,170
8,9,36
8,5,44
5,4,51
